City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,necochea,-38.5473,-58.7368,15.9,70,0,5.48,AR,1682664115
184,nagqu,31.5,92.0,0.49,77,100,3.74,CN,1682664116
185,utrik,11.2278,169.8474,26.94,83,87,9.06,MH,1682664116
186,ghat,24.9647,10.1728,28.54,14,45,2.4,LY,1682664116
187,laguna,38.421,-121.4238,23.08,60,0,2.06,US,1682664116
188,alvaraes,-3.2208,-64.8042,22.39,98,4,0.4,BR,1682664117
189,ridgecrest,35.6225,-117.6709,24.25,26,20,3.6,US,1682663994
190,khorugh,37.4897,71.553,8.46,64,2,0.5,TJ,1682664117
191,fortuna,40.5982,-124.1573,11.48,89,9,1.04,US,1682664118
192,zarghun shahr,32.8473,68.4457,19.6,29,0,3.51,AF,1682664118
193,presidente venceslau,-21.8761,-51.8439,16.51,93,6,1.38,BR,1682664118
194,acarau,-2.8856,-40.12,23.19,89,93,2.48,BR,1682663857
195,papao,-17.75,-149.55,26.82,76,97,3.25,PF,1682664119
196,maridi,4.9158,29.4742,24.3,84,100,2.02,SS,1682664119
197,tadine,-21.55,167.8833,23.16,75,38,6.13,NC,1682664119
198,saipan,15.1355,145.701,31.39,70,0,9.77,MP,1682664119
199,prata,-19.3072,-48.9242,19.49,92,41,0.24,BR,1682663968
200,rundu,-17.9333,19.7667,23.08,27,14,2.23,NA,1682664120
201,ampanihy,-24.7,44.75,25.23,53,81,4.89,MG,1682664120
202,linares,-35.85,-71.6,12.31,91,100,1.95,CL,1682664120
203,lakheri,25.6667,76.1667,34.84,22,81,3.57,IN,1682664120
204,tangalle,6.024,80.7911,32.09,65,100,3.5,LK,1682664028
205,chulakkurgan,43.765,69.1814,24.52,20,0,2.65,KZ,1682664121
206,bela vista do paraiso,-22.9967,-51.1906,15.58,90,6,1.42,BR,1682664121
207,torres,-29.3353,-49.7269,11.57,82,97,1.74,BR,1682663823
208,vadso,70.0744,29.7487,2.09,75,0,7.72,NO,1682664122
209,i-n-salah,27.1935,2.4607,30.03,8,0,10.54,DZ,1682664123
210,whitehorse,60.7161,-135.0538,3.43,52,40,3.6,CA,1682664123
211,zhezqazghan,47.7833,67.7667,23.32,21,0,5.0,KZ,1682664123
212,tommot,58.9564,126.2925,5.25,66,100,1.99,RU,1682664124
213,mossel bay,-34.1831,22.146,15.96,77,4,1.86,ZA,1682664124
214,olyokminsk,60.3736,120.4264,8.19,49,64,1.6,RU,1682664126
215,vernon,50.2581,-119.2691,11.27,42,8,4.63,CA,1682664126
216,nuku'alofa,-21.1333,-175.2,26.19,94,75,5.66,TO,1682664127
217,rubio,7.7013,-72.3557,19.17,91,24,1.33,VE,1682664127
218,hauterive,46.0901,3.4459,16.42,78,95,2.2,FR,1682664128
219,quellon,-43.1167,-73.6167,14.14,94,100,5.14,CL,1682664128
220,tupaciguara,-18.5922,-48.705,17.88,92,52,1.02,BR,1682664128
221,kristiansund,63.1115,7.732,4.36,65,0,3.09,NO,1682664129
222,invercargill,-46.4,168.35,11.68,82,0,0.89,NZ,1682664129
223,bull savanna,17.8868,-77.5902,22.86,86,84,3.05,JM,1682664129
224,padang,-0.9492,100.3543,30.03,85,44,2.36,ID,1682664129
225,lyantonde,-0.4031,31.1572,21.74,82,100,1.87,UG,1682664130
226,huangmei,30.1924,116.025,20.21,88,100,1.48,CN,1682664131
227,chust,41.0094,71.2287,24.66,16,10,3.18,UZ,1682664131
228,san luis de la loma,17.2706,-100.8939,25.36,72,100,2.09,MX,1682664131
229,aasiaat,68.7098,-52.8699,-9.44,100,91,2.35,GL,1682664132
230,penzance,50.1186,-5.5371,11.38,100,75,6.69,GB,1682664132
231,iskateley,67.6803,53.1512,-3.5,83,94,4.54,RU,1682664133
232,isafjordur,66.0755,-23.124,-1.71,64,31,3.61,IS,1682664133
233,saudarkrokur,65.7461,-19.6394,-1.4,62,9,2.97,IS,1682664133
234,binhe,32.6883,112.8275,18.59,68,100,3.84,CN,1682664134
235,nemuro,43.3236,145.575,5.36,77,100,4.72,JP,1682664135
